TOKEN_ID,price,saleToken,saleTokendecimals,created_date,priceETH
1564,2100000000000000000,ETH,18,2022-01-26T20:01:24.123725,2.1
1561,25000000000000000000,ETH,18,2022-01-22T03:07:14.321872,25.0
1601,1800000000000000000,ETH,18,2022-01-26T19:12:45.680517,1.8
1601,2500000000000000000,ETH,18,2022-01-26T19:03:19.436830,2.5
1601,2500000000000000000,ETH,18,2022-01-26T19:03:18.456551,2.5
1632,2100000000000000000,ETH,18,2022-01-27T10:29:25.313170,2.1
1646,1590000000000000000,ETH,18,2022-01-27T14:18:26.043094,1.59
1646,1690000000000000000,ETH,18,2022-01-27T12:51:00.304716,1.69
1646,1850000000000000000,ETH,18,2022-01-27T10:00:00.687434,1.85
1654,1990000000000000000,ETH,18,2022-01-27T11:53:25.118571,1.99
1670,3500000000000000000,ETH,18,2022-01-27T05:46:25.763112,3.5
1676,15999000000000000000,ETH,18,2022-01-25T03:00:55.045262,15.999
1712,2000000000000000000,ETH,18,2022-01-22T22:59:59.874755,2.0
1758,2000000000000000000,ETH,18,2022-01-26T20:33:43.037246,2.0
1771,1650000000000000000,ETH,18,2022-01-27T14:23:06.117344,1.65
1771,1660000000000000000,ETH,18,2022-01-27T12:23:49.072909,1.66
1771,1670000000000000000,ETH,18,2022-01-27T11:39:47.860514,1.67
1777,2370000000000000000,ETH,18,2022-01-27T10:51:43.889220,2.37
1771,1680000000000000000,ETH,18,2022-01-27T10:10:07.968859,1.68
1771,1690000000000000000,ETH,18,2022-01-27T00:59:58.649821,1.69
1794,2493000000000000000,ETH,18,2022-01-25T09:36:54.570843,2.493
1828,5000000000000000000,ETH,18,2022-01-27T07:05:49.450200,5.0
1823,2190000000000000000,ETH,18,2022-01-27T02:15:24.561908,2.19
1823,2690000000000000000,ETH,18,2022-01-26T19:48:17.325695,2.69
1854,15230000000000000000,ETH,18,2022-01-27T10:43:54.521296,15.23
1879,1630000000000000000,ETH,18,2022-01-27T13:02:57.895924,1.63
1879,1790000000000000000,ETH,18,2022-01-27T00:08:16.102356,1.79
1882,2370000000000000000,ETH,18,2022-01-26T02:41:57.287451,2.37
1882,2380000000000000000,ETH,18,2022-01-25T15:10:18.318307,2.38
1882,2390000000000000000,ETH,18,2022-01-25T12:38:33.760865,2.39
1947,1690000000000000000,ETH,18,2022-01-27T13:53:58.152031,1.69
1947,1750000000000000000,ETH,18,2022-01-27T10:58:16.394310,1.75
1947,1800000000000000000,ETH,18,2022-01-27T09:14:43.908306,1.8
1936,1649000000000000000,ETH,18,2022-01-27T09:07:36.655830,1.649
1941,1980000000000000000,ETH,18,2022-01-26T14:09:55.918216,1.98
1936,2520000000000000000,ETH,18,2022-01-25T00:45:20.973824,2.52
1979,1888000000000000000,ETH,18,2022-01-27T13:20:35.313208,1.888
1970,2990000000000000000,ETH,18,2022-01-27T04:36:01.459064,2.99
1979,2200000000000000000,ETH,18,2022-01-27T04:06:56.691259,2.2
1970,4100000000000000000,ETH,18,2022-01-27T02:39:46.080040,4.1
1979,2500000000000000000,ETH,18,2022-01-26T19:55:16.968776,2.5
2097,4000000000000000000,ETH,18,2022-01-27T02:43:39.205815,4.0
2097,4500000000000000000,ETH,18,2022-01-26T21:24:09.827606,4.5
2097,4750000000000000000,ETH,18,2022-01-26T00:01:09.086628,4.75
2097,5000000000000000000,ETH,18,2022-01-24T21:03:55.165876,5.0
2087,2900000000000000000,ETH,18,2022-01-24T20:45:56.154352,2.9
2097,7500000000000000000,ETH,18,2022-01-24T18:37:02.657542,7.5
2097,8000000000000000000,ETH,18,2022-01-24T06:26:59.588238,8.0
2097,10000000000000000000,ETH,18,2022-01-23T22:24:12.191620,10.0
2097,12000000000000000000,ETH,18,2022-01-22T20:34:38.159855,12.0
2097,15000000000000000000,ETH,18,2022-01-22T02:10:38.082685,15.0
2117,1800000000000000000,ETH,18,2022-01-27T11:59:31.740135,1.8
2162,15000000000000000000,ETH,18,2022-01-27T14:00:46.303452,15.0
2187,2200000000000000000,ETH,18,2022-01-27T05:02:10.629422,2.2
2178,15000000000000000000,ETH,18,2022-01-25T22:48:35.151780,15.0
2252,2850000000000000000,ETH,18,2022-01-22T07:30:03.627128,2.85
2252,3000000000000000000,ETH,18,2022-01-21T22:26:35.959059,3.0
2279,1850000000000000000,ETH,18,2022-01-27T00:24:56.814517,1.85
2274,2900000000000000000,ETH,18,2022-01-25T15:12:22.336919,2.9
2284,3000000000000000000,ETH,18,2022-01-27T05:02:01.825551,3.0
2297,2856000000000000000,ETH,18,2022-01-26T14:48:12.020091,2.856
2344,2900000000000000000,ETH,18,2022-01-27T06:01:57.704001,2.9
2367,1850000000000000000,ETH,18,2022-01-27T03:38:41.115387,1.85
2367,2000000000000000000,ETH,18,2022-01-27T03:09:01.749110,2.0
2367,2500000000000000000,ETH,18,2022-01-27T01:15:21.346561,2.5
2376,1950000000000000000,ETH,18,2022-01-27T11:00:16.444796,1.95
2378,1990000000000000000,ETH,18,2022-01-27T09:26:53.220682,1.99
2398,1730000000000000000,ETH,18,2022-01-27T09:29:17.806309,1.73
2395,2770000000000000000,ETH,18,2022-01-22T06:11:39.399421,2.77
2439,1800000000000000000,ETH,18,2022-01-27T13:39:42.197541,1.8
2457,3000000000000000000,ETH,18,2022-01-23T00:56:26.019689,3.0
2539,3420000000000000000,ETH,18,2022-01-25T00:06:14.513009,3.42
2537,2000000000000000000,ETH,18,2022-01-21T23:15:34.391468,2.0
2537,3500000000000000000,ETH,18,2022-01-21T23:10:39.495684,3.5
2566,5200000000000000000,ETH,18,2022-01-25T07:11:11.882857,5.2
2605,1700000000000000000,ETH,18,2022-01-27T13:04:32.209735,1.7
2605,1880000000000000000,ETH,18,2022-01-27T00:01:48.806743,1.88
2623,1750000000000000000,ETH,18,2022-01-27T13:24:26.405147,1.75
2623,1800000000000000000,ETH,18,2022-01-27T12:31:54.308179,1.8
2623,1890000000000000000,ETH,18,2022-01-27T10:17:31.600685,1.89
2613,2110000000000000000,ETH,18,2022-01-25T14:08:05.474954,2.11
2644,2500000000000000000,ETH,18,2022-01-27T12:07:21.941655,2.5
2665,17000000000000000000,ETH,18,2022-01-27T05:40:19.017903,17.0
2663,4500000000000000000,ETH,18,2022-01-26T15:12:37.388632,4.5
2663,5000000000000000000,ETH,18,2022-01-25T17:46:16.632761,5.0
2681,4990000000000000000,ETH,18,2022-01-27T13:19:05.523793,4.99
2694,2090000000000000000,ETH,18,2022-01-27T12:42:49.315886,2.09
2694,2200000000000000000,ETH,18,2022-01-27T04:08:02.444987,2.2
2694,2500000000000000000,ETH,18,2022-01-26T15:59:29.858110,2.5
2739,1500000000000000000,ETH,18,2022-01-27T13:56:00.019941,1.5
2739,1600000000000000000,ETH,18,2022-01-27T12:41:23.426199,1.6
2744,1950000000000000000,ETH,18,2022-01-27T09:37:52.280765,1.95
2739,1850000000000000000,ETH,18,2022-01-27T06:41:00.394733,1.85
2777,4990000000000000000,ETH,18,2022-01-24T00:59:29.030223,4.99
2864,2020000000000000000,ETH,18,2022-01-25T14:07:56.172628,2.02
2859,5000000000000000000,ETH,18,2022-01-22T01:13:54.542930,5.0
2879,22000000000000000000,ETH,18,2022-01-27T14:24:14.666166,22.0
2901,2500000000000000000,ETH,18,2022-01-25T01:13:00.044911,2.5
2924,5500000000000000000,ETH,18,2022-01-25T14:39:15.743420,5.5
2931,2800000000000000000,ETH,18,2022-01-26T15:40:16.215173,2.8
2958,2490000000000000000,ETH,18,2022-01-26T16:05:28.301970,2.49
2958,2890000000000000000,ETH,18,2022-01-26T16:02:25.138723,2.89
2981,4000000000000000000,ETH,18,2022-01-27T04:09:52.810367,4.0
2991,1700000000000000000,ETH,18,2022-01-27T13:56:26.676835,1.7
2991,1750000000000000000,ETH,18,2022-01-27T12:41:42.947741,1.75
2991,1980000000000000000,ETH,18,2022-01-27T09:40:27.889258,1.98
2992,4500000000000000000,ETH,18,2022-01-27T07:23:15.182890,4.5
2991,2200000000000000000,ETH,18,2022-01-27T06:40:25.761139,2.2
